plot_cn,STATECD,UNITCD,COUNTYCD,PLOT,LAT,LON,ELEV,INVYR,MEASYEAR,PLOT_STATUS_CD,FORTYPCD,LIVE_CANOPY_CVR_PCT,STDAGE,SLOPE,ASPECT,CONDID,geometry,boletus_id,boletus_lat,boletus_lon,boletus_elevation,boletus_date,distance_km,state,annual_precipitation_mm
290008469489998,41,3,35,82000,43.512575,-121.950716,4700.0,2015,2015,1,281.0,15.0,110.0,0.0,0.0,1,POINT (-121.950716 43.512575000000005),49501132,43.50407833,-121.97207,,2020-06-11,1.967374825290626,OR,1132.5888671875
22825797010497,41,3,17,90118,43.993422,-121.596122,6300.0,2007,2007,1,281.0,,65.0,23.0,83.0,1,POINT (-121.59612200000001 43.993422),50332742,43.98458833,-121.60640833,,2020-06-20,1.281994644436431,OR,1273.529541015625
30764612020004,41,3,17,63028,43.975383,-121.607296,5900.0,2012,2012,1,261.0,70.0,108.0,20.0,136.0,1,POINT (-121.60729600000002 43.975383),50332742,43.98458833,-121.60640833,,2020-06-20,1.0250451654546495,OR,1222.421875
444202588489998,41,3,17,90118,43.993422,-121.596122,6300.0,2017,2017,1,281.0,41.0,75.0,17.0,97.0,1,POINT (-121.59612200000001 43.993422),50332742,43.98458833,-121.60640833,,2020-06-20,1.281994644436431,OR,1273.529541015625
24024664010900,41,3,17,63028,43.975383,-121.607296,5900.0,2002,2002,1,267.0,,98.0,150.0,20.0,1,POINT (-121.60729600000002 43.975383),50332742,43.98458833,-121.60640833,,2020-06-20,1.0250451654546495,OR,1222.421875
8662481010901,41,3,17,62934,44.028614,-121.598639,5700.0,2006,2006,1,270.0,,250.0,15.0,30.0,1,POINT (-121.598639 44.02861399999999),51191016,44.03903883,-121.59343,,2020-06-27,1.2309948555810197,OR,1176.9718017578125
22824749010497,41,3,17,53874,44.042631,-121.598533,5500.0,2007,2008,1,270.0,,125.0,10.0,134.0,1,POINT (-121.59853299999999 44.042631000000014),51191016,44.03903883,-121.59343,,2020-06-27,0.5713501491675851,OR,1176.9718017578125
345934724489998,41,3,17,62934,44.028614,-121.598639,5700.0,2016,2016,1,270.0,75.0,260.0,15.0,30.0,1,POINT (-121.598639 44.02861399999999),51191016,44.03903883,-121.59343,,2020-06-27,1.2309948555810197,OR,1176.9718017578125
412223156489998,41,3,17,53874,44.042631,-121.598533,5500.0,2017,2017,1,270.0,50.0,150.0,10.0,151.0,1,POINT (-121.59853299999999 44.042631000000014),51191016,44.03903883,-121.59343,,2020-06-27,0.5713501491675851,OR,1176.9718017578125
1303,41,2,29,158,42.146389,-122.409439,4087.0,1999,1997,1,369.0,,250.0,55.0,225.0,1,POINT (-122.40943900000002 42.146389),51920160,42.156175,-122.4243472222,,2020-06-23,1.6425379921663197,OR,973.2157592773438
273642124489998,41,1,39,64057,44.132738,-122.609456,700.0,2015,2015,1,,,,,,1,POINT (-122.609456 44.132738),71222528,44.1428750556,-122.5950078611,,2019-04-03,1.6134990975379564,OR,1893.1776123046875
558628315126144,41,1,43,95499,44.543542,-122.096899,3100.0,2019,2019,1,911.0,90.0,110.0,0.0,0.0,1,POINT (-122.096899 44.54354200000001),87493564,44.5343177733,-122.0760963857,,2021-06-14,1.9446348431215512,OR,2291.31787109375
41120128010497,41,1,43,66257,44.548668,-122.073608,3700.0,2005,2005,1,201.0,,282.0,10.0,96.0,1,POINT (-122.07360800000001 44.548668),87493564,44.5343177733,-122.0760963857,,2021-06-14,1.6063174780215788,OR,2291.31787109375
12898555010497,41,1,43,61474,44.520066,-122.06267,4100.0,2005,2005,1,263.0,,95.0,10.0,18.0,1,POINT (-122.06266999999998 44.520065999999986),87493564,44.5343177733,-122.0760963857,,2021-06-14,1.9091314111681084,OR,2392.47216796875
29881172010497,41,1,43,95499,44.543542,-122.096899,3100.0,2009,2009,1,911.0,,100.0,0.0,0.0,1,POINT (-122.096899 44.54354200000001),87493564,44.5343177733,-122.0760963857,,2021-06-14,1.9446348431215512,OR,2291.31787109375
290008915489998,41,1,43,66257,44.548668,-122.073608,3700.0,2015,2015,1,201.0,70.0,292.0,10.0,320.0,1,POINT (-122.07360800000001 44.548668),87493564,44.5343177733,-122.0760963857,,2021-06-14,1.6063174780215788,OR,2291.31787109375
