plot_cn,SPCD,species_name,scientific_name,tree_count,avg_dia,max_dia,avg_ht,total_carbon,trees_5plus_inches,state
30764693020004,21,Shasta red fir,Abies shastensis,39,8.74102564102564,18.8,39.717948717948715,6461.010154,37,OR
30764693020004,108,lodgepole pine,Pinus contorta,2,7.050000000000001,7.4,21.5,130.25392499999998,2,OR
30764710020004,108,lodgepole pine,Pinus contorta,70,4.4957142857142856,12.2,35.27142857142857,5010.260144,33,OR
30765158020004,17,grand fir,Abies grandis,1,5.1,5.1,30.0,40.001088,1,OR
30765158020004,73,western larch,Larix occidentalis,8,12.375,19.6,84.75,4331.656414,8,OR
30765158020004,108,lodgepole pine,Pinus contorta,2,8.8,10.8,60.0,458.662461,2,OR
30765158020004,122,ponderosa pine,Pinus ponderosa,13,15.576923076923077,32.9,71.76923076923077,20890.729855,10,OR
30765158020004,202,Douglas-fir,Pseudotsuga menziesii,1,7.9,7.9,35.0,93.034584,1,OR
30826361020004,15,white fir,Abies concolor,6,5.466666666666666,9.7,23.333333333333332,215.33065299999998,4,OR
30826361020004,20,California red fir,Abies magnifica,4,4.975,7.0,16.0,143.081781,2,OR
30826361020004,21,Shasta red fir,Abies shastensis,35,9.537142857142857,20.9,39.285714285714285,7418.174444,33,OR
30826390020004,81,incense-cedar,Calocedrus decurrens,1,2.1,2.1,10.0,2.489215,0,OR
30826390020004,202,Douglas-fir,Pseudotsuga menziesii,30,10.846666666666666,18.4,68.3,12088.781105,30,OR
30826390020004,818,California black oak,Quercus kelloggii,11,8.818181818181818,21.7,44.0,2483.927189,11,OR
30852096020004,15,white fir,Abies concolor,5,4.6,6.8,19.0,93.922604,3,OR
30852096020004,20,California red fir,Abies magnifica,4,5.325,8.0,16.0,185.220381,2,OR
30852096020004,21,Shasta red fir,Abies shastensis,39,10.082051282051282,22.8,38.84615384615385,9414.911482,37,OR
30852096020004,264,mountain hemlock,Tsuga mertensiana,1,6.0,6.0,26.0,50.284371,1,OR
30852293020004,81,incense-cedar,Calocedrus decurrens,1,2.9,2.9,13.0,5.684304,0,OR
30852293020004,202,Douglas-fir,Pseudotsuga menziesii,33,11.56969696969697,19.7,69.63636363636364,15573.780731,33,OR
30852293020004,361,Pacific madrone,Arbutus menziesii,1,1.0,1.0,11.0,0.693724,0,OR
30852293020004,818,California black oak,Quercus kelloggii,6,8.716666666666667,12.5,48.333333333333336,1299.01262,6,OR
30852317020004,15,white fir,Abies concolor,19,12.74736842105263,24.0,72.52631578947368,12882.858109,19,OR
30852317020004,122,ponderosa pine,Pinus ponderosa,16,26.55625,34.7,101.6875,45163.371471,16,OR
30852708020004,15,white fir,Abies concolor,11,8.272727272727273,21.8,37.72727272727273,2813.43395,8,OR
30852708020004,19,subalpine fir,Abies lasiocarpa,2,6.65,8.1,29.0,124.20527100000001,2,OR
30852708020004,93,Engelmann spruce,Picea engelmannii,11,5.345454545454545,14.0,25.727272727272727,942.021616,6,OR
30852708020004,108,lodgepole pine,Pinus contorta,10,7.69,13.7,45.8,1555.340492,9,OR
30852708020004,122,ponderosa pine,Pinus ponderosa,2,21.45,34.0,72.0,4593.553101,2,OR
30852708020004,264,mountain hemlock,Tsuga mertensiana,6,7.75,16.2,35.333333333333336,1038.721721,5,OR
345933368489998,15,white fir,Abies concolor,21,28.95714285714286,52.2,116.0952380952381,130189.042475,20,OR
345933368489998,21,Shasta red fir,Abies shastensis,3,25.099999999999998,44.5,99.66666666666667,11387.929622,3,OR
345933368489998,202,Douglas-fir,Pseudotsuga menziesii,1,34.3,34.3,128.0,5270.205698,1,OR
345934724489998,11,Pacific silver fir,Abies amabilis,1,5.3,5.3,22.0,33.973327,1,OR
345934724489998,19,subalpine fir,Abies lasiocarpa,4,10.275,17.8,47.25,1198.665856,4,OR
345934724489998,119,western white pine,Pinus monticola,1,28.3,28.3,112.0,3008.496552,1,OR
345934724489998,264,mountain hemlock,Tsuga mertensiana,44,18.53409090909091,31.9,77.86363636363636,63307.861296,41,OR
345936259489998,108,lodgepole pine,Pinus contorta,6,2.6833333333333336,4.0,17.333333333333332,49.296014,0,OR
346864009489998,202,Douglas-fir,Pseudotsuga menziesii,22,17.427272727272726,43.3,97.5,32080.513713,22,OR
346864009489998,242,western redcedar,Thuja plicata,4,11.45,17.0,60.25,1034.0764199999999,4,OR
346864009489998,263,western hemlock,Tsuga heterophylla,7,10.614285714285714,19.4,82.14285714285714,4091.2915820000003,7,OR
346864076489998,17,grand fir,Abies grandis,2,4.75,5.5,36.0,82.872831,1,OR
346864076489998,122,ponderosa pine,Pinus ponderosa,17,18.13529411764706,24.8,78.76470588235294,18000.788872,17,OR
346864076489998,202,Douglas-fir,Pseudotsuga menziesii,8,9.4125,18.3,60.25,2371.507372,8,OR
346864486489998,11,Pacific silver fir,Abies amabilis,3,6.133333333333333,8.6,23.333333333333332,219.861649,2,OR
346864486489998,15,white fir,Abies concolor,18,12.788888888888888,33.9,54.666666666666664,20898.594317,13,OR
346864486489998,21,Shasta red fir,Abies shastensis,28,13.232142857142858,35.1,63.357142857142854,20073.883894,26,OR
346864486489998,122,ponderosa pine,Pinus ponderosa,1,5.3,5.3,23.0,37.790083,1,OR
346864519489998,15,white fir,Abies concolor,5,9.38,11.8,46.0,834.730125,5,OR
346864519489998,108,lodgepole pine,Pinus contorta,28,5.785714285714286,8.6,27.821428571428573,1554.48985,26,OR
41117724010497,11,Pacific silver fir,Abies amabilis,3,9.633333333333333,13.3,41.333333333333336,616.609586,3,OR
41117724010497,15,white fir,Abies concolor,12,14.666666666666666,33.0,60.083333333333336,16919.272498,10,OR
41117724010497,21,Shasta red fir,Abies shastensis,27,12.52962962962963,34.6,57.148148148148145,16400.834633,26,OR
41117890010497,15,white fir,Abies concolor,5,7.159999999999999,9.1,32.2,357.72585399999997,5,OR
41117890010497,108,lodgepole pine,Pinus contorta,7,4.8999999999999995,7.0,22.142857142857142,272.265735,5,OR
41117920010497,202,Douglas-fir,Pseudotsuga menziesii,22,15.140909090909092,42.0,81.5909090909091,23966.855712,22,OR
41117920010497,242,western redcedar,Thuja plicata,5,8.76,14.9,46.2,704.909026,5,OR
41117920010497,263,western hemlock,Tsuga heterophylla,7,10.857142857142858,18.4,81.85714285714286,3832.250016,7,OR
41118041010497,17,grand fir,Abies grandis,1,2.8,2.8,19.0,8.675521,0,OR
41118041010497,122,ponderosa pine,Pinus ponderosa,16,16.05625,20.3,60.1875,11176.321265,16,OR
41118041010497,202,Douglas-fir,Pseudotsuga menziesii,5,9.0,14.7,46.2,983.504651,5,OR
41118311010497,15,white fir,Abies concolor,14,19.77857142857143,39.8,79.28571428571429,32480.701027,13,OR
41118311010497,21,Shasta red fir,Abies shastensis,5,31.420000000000005,40.1,111.8,23577.185879,5,OR
