L4_CODE,L4_NAME,species_common_name,tree_count,plots_with_species,total_plots_in_ecoregion,L3_CODE,L3_NAME,avg_tree_cover_pct,area_sqkm,pct_plots_with_species
9b,Grand Fir Mixed Forest,Pacific silver fir,144,21,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,12.0
9b,Grand Fir Mixed Forest,Alaska yellow-cedar,55,9,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,5.1
9b,Grand Fir Mixed Forest,western white pine,51,35,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,20.0
9b,Grand Fir Mixed Forest,noble fir,25,6,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,3.4
9b,Grand Fir Mixed Forest,Pacific dogwood,19,6,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,3.4
9b,Grand Fir Mixed Forest,Oregon white oak,18,4,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,2.3
9b,Grand Fir Mixed Forest,bigleaf maple,13,6,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,3.4
9b,Grand Fir Mixed Forest,black cottonwood,13,7,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,4.0
9b,Grand Fir Mixed Forest,bitter cherry,8,3,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,1.7
9b,Grand Fir Mixed Forest,whitebark pine,6,6,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,3.4
9b,Grand Fir Mixed Forest,red alder,3,2,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,1.1
9b,Grand Fir Mixed Forest,Pacific yew,2,1,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,0.6
9b,Grand Fir Mixed Forest,quaking aspen,1,1,175,9,Eastern Cascades Slopes and Foothills,8.0,4431.9,0.6
9c,Oak/Conifer Foothills,Douglas-fir,799,52,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,72.2
9c,Oak/Conifer Foothills,Oregon white oak,443,29,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,40.3
9c,Oak/Conifer Foothills,ponderosa pine,150,30,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,41.7
9c,Oak/Conifer Foothills,grand fir,108,33,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,45.8
9c,Oak/Conifer Foothills,bigleaf maple,88,15,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,20.8
9c,Oak/Conifer Foothills,western hemlock,28,4,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,5.6
9c,Oak/Conifer Foothills,western redcedar,26,3,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,4.2
9c,Oak/Conifer Foothills,Pacific dogwood,25,5,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,6.9
9c,Oak/Conifer Foothills,quaking aspen,17,1,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,1.4
9c,Oak/Conifer Foothills,red alder,13,3,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,4.2
9c,Oak/Conifer Foothills,lodgepole pine,9,2,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,2.8
9c,Oak/Conifer Foothills,Oregon crab apple,7,1,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,1.4
9c,Oak/Conifer Foothills,black cottonwood,7,2,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,2.8
9c,Oak/Conifer Foothills,Pacific yew,5,2,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,2.8
9c,Oak/Conifer Foothills,western larch,4,1,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,1.4
9c,Oak/Conifer Foothills,willow spp.,3,1,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,1.4
9c,Oak/Conifer Foothills,bitter cherry,1,1,72,9,Eastern Cascades Slopes and Foothills,13.5,2967.7,1.4
