scientific_name,US_L3CODE,US_L3NAME,count
Cantharellus cascadensis,2,Puget Lowland,8
Cantharellus cascadensis,4,Cascades,7
Cantharellus cascadensis,9,Eastern Cascades Slopes and Foothills,2
Cantharellus cascadensis,1,Coast Range,1
Cantharellus cascadensis,3,Willamette Valley,1
Cantharellus cascadensis,77,North Cascades,1
Cantharellus formosus,2,Puget Lowland,487
Cantharellus formosus,1,Coast Range,241
Cantharellus formosus,77,North Cascades,103
Cantharellus formosus,4,Cascades,101
Cantharellus formosus,3,Willamette Valley,4
Cantharellus formosus,11,Blue Mountains,1
Cantharellus formosus,9,Eastern Cascades Slopes and Foothills,1
Cantharellus roseocanus,1,Coast Range,22
Cantharellus roseocanus,4,Cascades,16
Cantharellus roseocanus,77,North Cascades,15
Cantharellus roseocanus,2,Puget Lowland,11
Cantharellus roseocanus,9,Eastern Cascades Slopes and Foothills,1
Cantharellus subalbidus,2,Puget Lowland,107
Cantharellus subalbidus,4,Cascades,88
Cantharellus subalbidus,77,North Cascades,32
Cantharellus subalbidus,1,Coast Range,20
Cantharellus subalbidus,9,Eastern Cascades Slopes and Foothills,7
Cantharellus subalbidus,10,Columbia Plateau,2
Cantharellus subalbidus,15,Northern Rockies,2
