month,mean,median,min,max,std,l3_code,region_name
Apr,6.930076,6.6653166,2.1351154,16.834848,1.9706434,4,Cascades
May,4.6190386,4.4442897,1.4086189,9.781025,1.1809483,4,Cascades
Jun,3.445797,3.2537181,0.87759894,8.187757,1.0219513,4,Cascades
Jul,1.0779151,0.975032,0.20940562,3.6389785,0.39423472,4,Cascades
Aug,1.3324349,1.2555873,0.24098043,3.615309,0.40866023,4,Cascades
Sep,3.1881075,3.0421824,0.8007052,8.075201,0.9337872,4,Cascades
Oct,7.846575,7.497165,2.626336,20.829653,2.0977917,4,Cascades
Nov,12.657915,12.075416,4.853739,29.49903,3.492849,4,Cascades
Dec,13.0229845,12.312742,4.8703966,31.158398,3.8041117,4,Cascades
Jan,10.721836,10.18386,1.1757054,36.12419,6.0703726,77,North Cascades
Feb,7.3320475,7.012362,0.8282682,28.765642,4.1168475,77,North Cascades
Mar,7.881418,7.346185,0.8281461,30.097572,4.850781,77,North Cascades
Apr,4.9605417,4.354014,0.6851539,20.837368,3.2455451,77,North Cascades
May,3.6185331,3.1370096,0.83743745,12.729136,2.1044557,77,North Cascades
Jun,2.9067562,2.618777,0.6424807,9.743741,1.6058018,77,North Cascades
Jul,1.4066769,1.298855,0.27857888,4.8690143,0.72605187,77,North Cascades
Aug,1.5554047,1.3907055,0.24070485,6.6488576,0.93930095,77,North Cascades
Sep,3.160461,2.7112968,0.2469647,14.141067,2.1546626,77,North Cascades
Oct,7.3761883,6.602283,0.85468155,24.509733,4.628632,77,North Cascades
Nov,11.667058,10.82729,1.050351,49.52872,7.0882173,77,North Cascades
Dec,10.600221,10.138155,1.2679929,35.21773,5.6689334,77,North Cascades
Jan,5.5452046,5.3019085,2.0008633,18.057407,2.175802,9,Eastern Cascades Slopes and Foothills
Feb,4.2214675,4.0461397,1.3378708,13.98461,1.6832397,9,Eastern Cascades Slopes and Foothills
Mar,3.6664267,3.328915,1.2150006,12.811734,1.745137,9,Eastern Cascades Slopes and Foothills
Apr,2.2399564,1.9560995,0.7275201,8.6787405,1.0524081,9,Eastern Cascades Slopes and Foothills
May,1.6993144,1.5655875,0.7192091,4.6540146,0.6458868,9,Eastern Cascades Slopes and Foothills
Jun,1.1117638,0.9690714,0.48141363,3.4236162,0.4751005,9,Eastern Cascades Slopes and Foothills
Jul,0.42019874,0.3778526,0.1464922,1.1762959,0.16894823,9,Eastern Cascades Slopes and Foothills
Aug,0.43537003,0.38529155,0.18251584,1.3176346,0.18771021,9,Eastern Cascades Slopes and Foothills
Sep,0.958179,0.8633803,0.3354293,3.2685804,0.4487276,9,Eastern Cascades Slopes and Foothills
Oct,3.018869,2.6530135,1.0087762,9.283899,1.3517963,9,Eastern Cascades Slopes and Foothills
Nov,5.116471,4.6719103,1.6418474,17.25099,2.253504,9,Eastern Cascades Slopes and Foothills
Dec,6.6077194,6.358599,2.3126352,19.740242,2.3695192,9,Eastern Cascades Slopes and Foothills
