l3_code,region_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,Coast Range,414.2599,258.0499,301.3694,202.0471,108.796364,81.75347,35.816357,52.83821,101.63676,258.38416,428.32327,404.8595
10,Columbia Plateau,41.892166,29.84052,32.52017,25.951452,28.33841,23.146776,9.231144,7.663255,10.308228,26.863253,39.65859,48.1666
11,Blue Mountains,106.076775,89.98846,101.20331,81.52604,70.1815,54.647297,19.30723,18.513298,25.473171,67.375694,112.09044,118.615234
15,Northern Rockies,68.77857,48.124203,61.904163,48.78656,57.57715,60.61507,26.683128,17.804798,25.187107,47.99454,69.39561,79.12676
2,Puget Lowland,174.51364,117.013306,132.7097,98.28563,66.9012,51.6969,22.206673,27.81329,52.423492,119.928474,190.03212,177.55064
3,Willamette Valley,179.55128,132.0138,140.34314,110.53444,79.48605,56.823635,15.078192,18.871859,50.58547,117.86318,189.80916,203.68793
4,Cascades,318.503,232.08434,241.60939,176.02383,117.32351,87.52319,27.379026,33.843826,80.97788,199.30289,321.51086,330.78363
77,North Cascades,272.33447,186.2339,200.18791,125.99769,91.91069,73.831566,35.729572,39.507256,80.275665,187.35507,296.3431,269.24545
9,Eastern Cascades Slopes and Foothills,140.84811,107.22522,93.12718,56.89486,43.16256,28.238787,10.673042,11.058393,24.337732,76.67923,129.95828,167.83598
