month,mean,median,min,max,std,l3_code,region_name
Dec,330.78363,312.74347,123.708,791.42285,96.62438,4,Cascades
Jan,272.33447,258.6699,29.8629,917.5539,154.18738,77,North Cascades
Feb,186.2339,178.11389,21.038,730.6469,104.56787,77,North Cascades
Mar,200.18791,186.593,21.034899,764.4779,123.20976,77,North Cascades
Apr,125.99769,110.591896,17.402899,529.26886,82.4368,77,North Cascades
May,91.91069,79.68,21.270899,323.3199,53.453144,77,North Cascades
Jun,73.831566,66.5169,16.319,247.49089,40.787342,77,North Cascades
Jul,35.729572,32.9909,7.0758996,123.6729,18.441708,77,North Cascades
Aug,39.507256,35.3239,6.1138997,168.88089,23.85823,77,North Cascades
Sep,80.275665,68.8669,6.2728996,359.1829,54.7284,77,North Cascades
Oct,187.35507,167.69789,21.708899,622.5469,117.56719,77,North Cascades
Nov,296.3431,275.013,26.6789,1258.0288,180.04062,77,North Cascades
Dec,269.24545,257.509,32.207,894.5299,143.99083,77,North Cascades
Jan,140.84811,134.6684,50.8219,458.6579,55.26534,9,Eastern Cascades Slopes and Foothills
Feb,107.22522,102.7719,33.9819,355.2089,42.754265,9,Eastern Cascades Slopes and Foothills
Mar,93.12718,84.5544,30.861,325.41788,44.326454,9,Eastern Cascades Slopes and Foothills
Apr,56.89486,49.6849,18.479,220.4399,26.731152,9,Eastern Cascades Slopes and Foothills
May,43.16256,39.7659,18.2679,118.2119,16.405516,9,Eastern Cascades Slopes and Foothills
Jun,28.238787,24.614399,12.2279,86.9598,12.067546,9,Eastern Cascades Slopes and Foothills
Jul,10.673042,9.59745,3.7208998,29.8779,4.2912827,9,Eastern Cascades Slopes and Foothills
Aug,11.058393,9.7864,4.6359,33.4679,4.7678366,9,Eastern Cascades Slopes and Foothills
Sep,24.337732,21.929848,8.519899,83.0219,11.397675,9,Eastern Cascades Slopes and Foothills
Oct,76.67923,67.386505,25.6229,235.8109,34.335606,9,Eastern Cascades Slopes and Foothills
Nov,129.95828,118.66645,41.7029,438.1749,57.23897,9,Eastern Cascades Slopes and Foothills
Dec,167.83598,161.50833,58.7409,501.4019,60.185753,9,Eastern Cascades Slopes and Foothills
